,07/17/2013,,04983,"Amblin Entertainment, LLC:A. JACKSON:SNIPER"
,07/17/2013,118007,04968,Fremantle Media:L.BARNES:EVERYDAY FOOD
,07/17/2013,117992,04952,Fremantle Media:L.BARNES:1000 WAYS TO DIE - SEASON 4
,07/16/2013,TSC282868,04828,20TH CENTURY FOX TV DISTRIBUTION:T.FIALA:ANOTHER EARTH
,07/16/2013,1291083-70,04927,Warner Bros. Technical Operations:B. ESPINOZA:TWO BROKE GIRLS
,07/16/2013,3005939232,04975,DISNEY WORLDWIDE SHARED SERVICES:J.MELARA:VARIOUS TITLES
,07/16/2013,10289,04995,Santa Monica Video:L. DUNCAN:MASTER CHEF US
,07/16/2013,ZS3490,04942,"Samsung Electronics Company, LTD.:DaeYoung Son:SAMSUNG DELIVERY - GERMAN"
,07/16/2013,1339545-1,04911,"Warner Bros. Technical Operations:G. DEHAVEN:TOWN, THE"
,07/12/2013,1300146-2,04963,"Warner Bros. Technical Operations:C.REVELES:CLOSER, THE"
,07/12/2013,TSC282366,04821,20th Century Fox Technical Services:E.LOPEZ:LITTLE MISS SUNSHINE
,07/12/2013,TSC282871,04827,"20TH CENTURY FOX TV DISTRIBUTION:T.FIALA:ART OF GETTING BY, THE"
,07/12/2013,95845659,04939,MICROSOFT CORP./ XBOX:EST/VOD:XBOX DELIVERY - ITALY
,07/11/2013,TSC284805,04888,20TH CENTURY FOX TV DISTRIBUTION:T.FIALA:X-MEN - FIRST CLASS
,07/11/2013,TSC282878,04829,20TH CENTURY FOX TV DISTRIBUTION:T.FIALA:SNOW FLOWER AND THE SECRET FAN
,07/11/2013,TSC282856,04825,20TH CENTURY FOX TV DISTRIBUTION:T.FIALA:MONTE CARLO
,07/11/2013,TSC283176,04877/ 04879,"20TH CENTURY FOX TV DISTRIBUTION:A. PRINCENTHAL:PRACTIC, THE"
,07/10/2013,1291083-71,04872,"Warner Bros. Technical Operations:B. ESPINOZA:AMAZING WORLD OF GUMBALL, THE"
,07/10/2013,1291083-72,04873,Warner Bros. Technical Operations:B. ESPINOZA:BEN 10 -OMNIVERSE
,07/10/2013,95845659,04891,MICROSOFT CORP./ XBOX:EST/VOD:XBOX DELIVERY-US
,07/10/2013,95845659,04899,MICROSOFT CORP./ XBOX:EST/VOD:XBOX DELIVERY-US
,07/09/2013,3005930819,04883,DISNEY WORLDWIDE SHARED SERVICES:L.HOLLAND:AUSTIN AND ALLY
,07/08/2013,PSN,04890,Sony Media Software and Services:EST/VOD:PLAYSTATION DELIVERY - AL284792
,07/08/2013,PSN,04880,Sony Media Software and Services:EST/VOD:PLAYSTATION DELIVERY - AL283411
,07/08/2013,PSN,04894,Sony Media Software and Services:EST/VOD:PLAYSTATION DELIVERY - AL284869
,07/03/2013,,,FREMANTLE:R.MILSTEIN:STORAGE FEES
,06/30/2013,LO-B343207,02241,20TH CENTURY FOX TV DISTRIBUTION:A. PRINCENTHAL:RAISING HOPE
,06/30/2013,117748/ 117726,04659/04654,Fremantle Media:L.BARNES:WEB THERAPY
,06/30/2013,116658,04345,Fremantle Media:L.BARNES:BLACK GOLD SEASON 5
,06/30/2013,117751/117825,04661/04746,Fremantle Media:L.BARNES:AROUND THE WORLD IN 80 WAYS
,06/30/2013,117750,04660,Fremantle Media:L.BARNES:MARTHA BAKES
,06/30/2013,ZS3490,04420...,"Samsung Electronics Company, LTD.:DaeYoung Son:SAMSUNG DELIVERY -FRANCE"
,06/30/2013,ZS3490,04287,"Samsung Electronics Company, LTD.:DaeYoung Son:SAMSUNG DELIVERY -FRANCE"
,06/30/2013,ZS3490,04125,"Samsung Electronics Company, LTD.:DaeYoung Son:SAMSUNG DELIVERY -FRANCE"
,06/30/2013,ZS3490,04607,"Samsung Electronics Company, LTD.:DaeYoung Son:SAMSUNG DELIVERY -FRANCE"
,06/30/2013,540023465,03554,ITUNES S.A.R.L.:EST/VOD-J.GOODRUM:HITCHCOCK
,06/30/2013,540023465,04628,"ITUNES S.A.R.L.:EST/VOD-J.GOODRUM:SESSIONS, THE"
,06/30/2013,ZS3490,04645,"Samsung Electronics Company, LTD.:DaeYoung Son:SAMSUNG DELIVERY - SPAIN"
,06/30/2013,95845659,04700,MICROSOFT CORP./ XBOX:EST/VOD:XBOX DELIVERY - GERMANY
,06/30/2013,95845659,04562,MICROSOFT CORP./ XBOX:EST/VOD:XBOX DELIVERY - FRANCE
,06/30/2013,95845659,04627,MICROSOFT CORP./ XBOX:EST/VOD:XBOX DELIVERY-JAPAN
,06/30/2013,95845659,04674,MICROSOFT CORP./ XBOX:EST/VOD:XBOX DELIVERY - SPAIN
,06/30/2013,PSN,04698,Sony Media Software and Services:EST/VOD:PLAYSTATION DELIVERY - AL281282
,06/30/2013,PSN,04563,Sony Media Software and Services:EST/VOD:PLAYSTATION DELIVERY - AL278889
,06/30/2013,117702,04614,Fremantle Media:L.BARNES:BLACK GOLD - SEASON 4
,06/30/2013,117700,04613,Fremantle Media:L.BARNES:BLACK GOLD - SEASON 3
,06/30/2013,117699,04612,Fremantle Media:L.BARNES:BLACK GOLD - SEASON 2
,06/30/2013,,04510,SDI Media USA:CROSSFIGHT
,06/30/2013,116073,04402,Fremantle Media:TRACI LARSEN:WIZARDS VS ALIENS
,06/30/2013,117670,04591,Fremantle Media:C.SPALDING:MY BABYSITTER'S A VAMPIRE
,06/30/2013,95845659,04699,MICROSOFT CORP./ XBOX:EST/VOD:XBOX DELIVERY - FRANCE
,06/30/2013,0505023654,04805,ITUNES K.K.:MARTHA MARCY MAY MARLENE
,06/30/2013,TSC279259,04641,20th Century Fox Technical Services:L. KAO:CHARIOTS OF FIRE
,06/30/2013,2012-25,04770/ 04709,ESPN:S.SCHOEN:VARIOUS TITLES
,06/30/2013,117552,04505,"Fremantle Media:L.BARNES:MARTHA STEWART SHOW, THE - SEASON 7"
,06/30/2013,ZS3490,04390,"Samsung Electronics Company, LTD.:DaeYoung Son:SAMSUNG DELIVERY -FRANCE"
,06/30/2013,95845659,04701/ 04736,MICROSOFT CORP./ XBOX:EST/VOD:XBOX DELIVERY - ITALY
,06/30/2013,95845659,04738,MICROSOFT CORP./ XBOX:EST/VOD:XBOX DELIVERY-JAPAN
,06/30/2013,PSN,04838/ 04734,Sony Media Software and Services:EST/VOD:PLAYSTATION DELIVERY -AL281291
,06/30/2013,116539,04787,Fremantle Media:S. FERGUSON:MY BABYSITTER'S A VAMPIRE
,06/30/2013,116540,04784,Fremantle Media:S. FERGUSON:MY BABYSITTER'S A VAMPIRE
,06/30/2013,117725,04653,Fremantle Media:L.BARNES:WEB THERAPY
,06/30/2013,TSC279037,04601,20th Century Fox Technical Services:L. KAO:VARIOUS TITLES
,06/30/2013,112107,04524,Fremantle Media:S. FERGUSON:MAN VS. FOOD-CARNIVORE CHRONICLES
,06/30/2013,117027,03712,Fremantle Media:TRACI LARSEN:MERLIN-SEASON 4
,06/30/2013,1330677-1,04777,Warner Bros. Technical Operations:C.REVELES:VAMPIRE DIARIES
,06/30/2013,ZS3490,04646,"Samsung Electronics Company, LTD.:DaeYoung Son:SAMSUNG DELIVERY - GERMAN"
,06/30/2013,1330686-1,04778,Warner Bros. Technical Operations:C.REVELES:MIKE AND MOLLY
,06/30/2013,TSC282733,04812,"20TH CENTURY FOX:E. PAIZ:NAMESAKE, THE"
,06/30/2013,117005,03505,Fremantle Media:S. FERGUSON:MONSUNO
,06/30/2013,100227113,03653,AMAZON:VARIOUS TITLES - AL274488
,06/30/2013,100227113,03624,AMAZON:VARIOUS TITLES - AL274488
,06/30/2013,100227113,03682,AMAZON:VARIOUS TITLES - AL274488
,06/30/2013,1291083-17,03787,Warner Bros. Technical Operations:B. ESPINOZA:TWO BROKE GIRLS
,06/30/2013,TL12/11/2012WVS1CC,04402,Fremantle Media:TRACI LARSEN:WIZARDS VS ALIENS
,06/30/2013,1291083-30,04252,Warner Bros. Technical Operations:B. ESPINOZA:FRINGE
,06/30/2013,1291083-55,04482,Warner Bros. Technical Operations:B. ESPINOZA:BEN 10 -OMNIVERSE
,06/30/2013,4782267,01348,LIONS GATE ENTERTAINMENT CORP.:S.DIXON:TWILIGHT BREAKING DAWN PART 1
